Front,Back,Category
"What is a Calculated Field?","Custom formula field added inside a PivotTable",PivotTables
"How to refresh a PivotTable?","Right-click → Refresh or Alt+F5 (all PivotTables: Ctrl+Alt+F5)",PivotTables
"What does Goal Seek do?","Finds input value needed to reach a target result",What-If Analysis
"What is a Data Table?","Shows how formula results change with1 or2 input variables",What-If Analysis
"What is Scenario Manager?","Saves and compares different sets of input values",What-If Analysis
"How to enable Solver?","File → Options → Add-ins → Solver Add-in → Go → check",What-If Analysis
"What is conditional formatting?","Automatically formats cells based on their values or formulas",Formatting
"How to highlight top10 values?","Home → Conditional Formatting → Top/Bottom Rules → Top10 Items",Formatting
"How to add data bars?","Home → Conditional Formatting → Data Bars → choose color",Formatting
"What is a formula-based conditional format?","Rule using custom formula (=A1>AVERAGE($A:$A)) to determine formatting",Formatting
"How to create a chart?","Select data → Insert → choose chart type",Charts
"How to add a trendline?","Click chart → Chart Design → Add Chart Element → Trendline",Charts
"What is a Sparkline?","Tiny chart inside a single cell showing data trend",Charts
"What is Power Query?","ETL tool for importing transforming and cleaning data",Power Query
"How to open Power Query?","Data tab → Get Data → choose source OR Data → From Table/Range",Power Query
"What is Merge Queries?","Joins two tables (like SQL JOIN) by matching columns",Power Query
"What is Append Queries?","Stacks tables vertically (like UNION in SQL)",Power Query
"What is Unpivot?","Converts columns to rows (wide to long format)",Power Query
"What is the M language?","Power Query's formula language for custom transformations",Power Query
"What is Power Pivot?","Data modeling tool for creating relationships between tables",Power Pivot
"What is DAX?","Data Analysis Expressions; formula language for Power Pivot/measures",Power Pivot
"What is a Measure in DAX?","Calculated value that changes based on context (not a column)",Power Pivot
"What does CALCULATE do in DAX?","Changes filter context for a calculation",Power Pivot
"What is a Data Model?","Collection of tables with relationships for PivotTable analysis",Power Pivot
"How to record a macro?","Developer tab → Record Macro → perform actions → Stop Recording",VBA
"How to open VBA Editor?","Alt+F11",VBA
"What is a Sub in VBA?","A procedure that performs actions: Sub Name() ... End Sub",VBA
"What is For Each loop?","Loops through each item in a collection: For Each ws In Worksheets",VBA
"How to handle errors in VBA?","On Error GoTo ErrorHandler ... ErrorHandler: MsgBox Err.Description",VBA
"What is a UserForm?","Custom dialog box with input controls (textboxes buttons etc.)",VBA
"What is the Range object?","Represents a cell or range: Range(""A1:B10"") or Cells(1 1)",VBA
"How to reference active sheet?","ActiveSheet or Activesheet",VBA
"What does Option Explicit do?","Forces variable declaration; catches typos",VBA
"What is a Function in VBA?","Returns a value: Function Name() As Type ... End Function",VBA
"Ctrl+C / Ctrl+V / Ctrl+X","Copy / Paste / Cut",Shortcuts
"Ctrl+Z / Ctrl+Y","Undo / Redo",Shortcuts
"Ctrl+S","Save",Shortcuts
"Ctrl+B / Ctrl+I / Ctrl+U","Bold / Italic / Underline",Shortcuts
"Ctrl+1","Format Cells dialog",Shortcuts
"Ctrl+Shift+L","Toggle AutoFilter",Shortcuts
"Ctrl+T","Create Table",Shortcuts
"Ctrl+Space","Select entire column",Shortcuts
"Shift+Space","Select entire row",Shortcuts
"Ctrl+Arrow","Jump to edge of data region",Shortcuts
"Ctrl+Home","Go to cell A1",Shortcuts
"Ctrl+End","Go to last used cell",Shortcuts
"F2","Edit active cell",Shortcuts
"F4","Toggle absolute/relative reference ($)",Shortcuts
"Alt+=","AutoSum",Shortcuts
"Alt+F11","Open VBA Editor",Shortcuts
"Ctrl+`","Show/hide formulas",Shortcuts
"Ctrl+D","Fill Down (copy cell above)",Shortcuts
"Ctrl+R","Fill Right (copy cell to left)",Shortcuts
"Ctrl+;","Insert current date",Shortcuts
"Ctrl+Shift+;","Insert current time",Shortcuts
"Ctrl+-","Delete cells/rows/columns",Shortcuts
"Ctrl+Shift++","Insert cells/rows/columns",Shortcuts
"Alt+Enter","New line within a cell",Shortcuts
"Ctrl+Page Up/Down","Switch between worksheets",Shortcuts
"Ctrl+F","Find",Shortcuts
"Ctrl+H","Find and Replace",Shortcuts
"Ctrl+G or F5","Go To dialog",Shortcuts
"Ctrl+Shift+$","Format as currency",Shortcuts
"Ctrl+Shift+%","Format as percentage",Shortcuts
"Ctrl+Shift+#","Format as date",Shortcuts
"Ctrl+Shift+@","Format as time",Shortcuts
